"un_federativa","grandeza","medida",2016,2017
"Sergipe","Total de registros","Ns. Absolutos",3405,3768
"Tocantins","Total de registros","Ns. Absolutos","...","..."
"Brasil","Total de registros","Taxas (2)","108,233914057818","106,538096051761"
"Acre (4)","Total de registros","Taxas (2)","83,7530167616235","79,3135162044264"
"Alagoas","Total de registros","Taxas (2)","46,9787848213868","53,7646671641256"
"Amapá (5)","Total de registros","Taxas (2)","100,47360650394","86,9977260248558"
"Amazonas","Total de registros","Taxas (2)","78,6672154379662","66,1234064062187"
"Bahia","Total de registros","Taxas (2)","72,7126763959911","75,8385101789592"
"Ceará","Total de registros","Taxas (2)","65,3750592810105","65,7505271349798"
"Distrito Federal","Total de registros","Taxas (2)","...","..."
"Espírito Santo","Total de registros","Taxas (2)","...","..."
"Goiás","Total de registros","Taxas (2)","73,4932282733124","76,2822528918217"
"Maranhão (4)","Total de registros","Taxas (2)","123,66919009335","127,924386473643"
"Mato Grosso","Total de registros","Taxas (2)","...","..."
"Mato Grosso do Sul","Total de registros","Taxas (2)","204,85493139317","207,581822879483"
"Minas Gerais (4)","Total de registros","Taxas (2)","103,812061972915","107,341373408961"
"Pará","Total de registros","Taxas (2)","48,3274916460407","59,6297576514696"
"Paraíba (4)","Total de registros","Taxas (2)","53,0577596973557","50,0303311988052"
"Paraná","Total de registros","Taxas (2)","128,732192921286","124,645655130355"
"Pernambuco","Total de registros","Taxas (2)","90,2411986139496","91,0879099140677"
"Piauí","Total de registros","Taxas (2)","70,948701504897","74,7688053485634"
"Rio de Janeiro","Total de registros","Taxas (2)","161,97407116472","146,402682081345"
"Rio Grande do Norte","Total de registros","Taxas (2)","67,3957222421423","63,3019133431024"
"Rio Grande do Sul","Total de registros","Taxas (2)","217,392460018606","199,551439804043"
"Rondônia","Total de registros","Taxas (2)","209,704248749076","204,896698837294"
"Roraima","Total de registros","Taxas (2)","...","..."
"Santa Catarina","Total de registros","Taxas (2)","208,304603119316","225,862539084589"
"São Paulo","Total de registros","Taxas (2)","116,95274196146","112,352035817115"
"Sergipe","Total de registros","Taxas (2)","150,279440316112","164,676965678314"
"Tocantins","Total de registros","Taxas (2)","...","..."
