"unidade_federativa","grandeza","medida",2016,2017
"Santa Catarina","Tentativa de Estupro","Ns. Absolutos"," 782,00 "," 757,00 "
"São Paulo (5)","Tentativa de Estupro","Ns. Absolutos"," ... "," ... "
"Sergipe (5)","Tentativa de Estupro","Ns. Absolutos"," 45,00 "," 41,00 "
"Tocantins","Tentativa de Estupro","Ns. Absolutos"," 42,00 "," 68,00 "
"Brasil","Tentativa de Estupro","Taxas","2,97455231192299","2,8878807529557"
"Acre","Tentativa de Estupro","Taxas","...","..."
"Alagoas","Tentativa de Estupro","Taxas","3,69161553729529","3,76204558118124"
"Amapá","Tentativa de Estupro","Taxas","4,34618654088292","2,63249603245241"
"Amazonas","Tentativa de Estupro","Taxas","3,7984170097112","2,90381911274053"
"Bahia","Tentativa de Estupro","Taxas","2,39582639187367","2,71107847679359"
"Ceará","Tentativa de Estupro","Taxas","3,15719142944129","2,77147728608075"
"Distrito Federal","Tentativa de Estupro","Taxas","3,09013521356865","3,65198371807475"
"Espírito Santo","Tentativa de Estupro","Taxas","5,4105786123099","4,15799794639718"
"Goiás (5)","Tentativa de Estupro","Taxas","6,37707955145385","5,26644058835435"
"Maranhão","Tentativa de Estupro","Taxas","3,29305168969502","3,45702976288347"
"Mato Grosso","Tentativa de Estupro","Taxas","4,9311290682193","5,74069290163323"
"Mato Grosso do Sul (5)","Tentativa de Estupro","Taxas","6,33764118959762","6,08149871717235"
"Minas Gerais","Tentativa de Estupro","Taxas","2,91938682399288","2,97355017648115"
"Pará","Tentativa de Estupro","Taxas","2,12747336911034","2,06773863974829"
"Paraíba","Tentativa de Estupro","Taxas","0,450065822126486","0,496825533255266"
"Paraná","Tentativa de Estupro","Taxas","4,26053481719726","3,77178759412244"
"Pernambuco","Tentativa de Estupro","Taxas","2,92231860796469","2,39621689077452"
"Piauí (5)","Tentativa de Estupro","Taxas","4,9810409130248","4,81477558331006"
"Rio de Janeiro","Tentativa de Estupro","Taxas","2,56071232524942","2,36258771181646"
"Rio Grande do Norte (5)","Tentativa de Estupro","Taxas","1,4964037389374","0,940974387532603"
"Rio Grande do Sul","Tentativa de Estupro","Taxas","5,77681300668941","6,16450121634087"
"Rondônia","Tentativa de Estupro","Taxas","7,721234345617","10,300212428037"
"Roraima (6)","Tentativa de Estupro","Taxas","3,30592012508046","4,40076841243236"
"Santa Catarina","Tentativa de Estupro","Taxas","11,3160263729979","10,8124923851915"
"São Paulo (5)","Tentativa de Estupro","Taxas","...","..."
"Sergipe (5)","Tentativa de Estupro","Taxas","1,98607189845082","1,79186719554428"
"Tocantins","Tentativa de Estupro","Taxas","2,73990118089741","4,38654774821732"
